objectid,numero,ponteid,observacao,sequencial,compriment,nomeusual,distritoid,setorid,tipolograd,redeaguasp,tipopavime,estadocons,meiofio,separacaov,sentidovia,calcadaimp,calcadapar,sinalizaca,dispositiv,sinaliza_1,sinaliza_2,ponte,redeagua,redetelefo,redeesgoto,redeilumin,redeenergi,areasverde,arvore,lixeirapub,telefonepu,bancos,hidrantes,caixacorre,bancajorna,pontoonibu,pontotaxi,pontomotot,placapubli,placatrans,semaforo,faixapedes,poste,formulario,pesquisado,eglid,logradouro,coletalixo,trechoviai,trechovi_1,nomelograd
9375,0,0,,10909,0,,14,14,1,3,1,2,2,5,2,2,2,4,3,3,4,6,3,3,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,206990,9,12436,36994,,12436,12436,RUA SEVERINO RODRIGUES E SILVA
9376,0,0,,10910,0,,14,14,1,4,2,2,2,5,2,2,2,4,4,4,4,6,1,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,207222,9,12437,36994,,12437,12437,RUA SEVERINO RODRIGUES E SILVA
9377,0,0,,10911,0,,14,14,1,2,2,2,2,5,2,2,2,4,4,4,4,6,3,1,3,1,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,207223,3,12438,36994,,12438,12438,RUA SEVERINO RODRIGUES E SILVA
9378,0,0,,10912,0,,14,14,1,4,2,2,2,5,2,2,2,4,4,4,4,6,1,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,207224,9,12439,700472,,12439,12439,RUA ÁUREA LUZ MACIEL DE LIMA
9379,0,0,,10913,0,,14,14,1,2,2,2,2,5,2,4,4,4,4,4,4,6,3,1,3,1,1,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,207225,3,12440,36994,,12440,12440,RUA SEVERINO RODRIGUES E SILVA
9380,0,0,,10914,0,,14,14,1,2,2,2,2,5,2,2,2,4,4,4,4,6,3,1,3,1,1,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,207226,14,12441,36994,,12441,12441,RUA SEVERINO RODRIGUES E SILVA
9381,0,0,,10935,0,,14,14,1,2,5,3,4,5,2,3,3,4,4,4,4,6,3,1,3,1,1,2,3,0,0,0,0,0,0,0,0,0,0,1,0,0,2,206996,13,12462,36653,,12462,12462,NÃO IDENTIFICADO 36653
9382,0,0,,10918,0,,14,14,1,2,2,2,2,5,2,2,2,4,4,4,4,6,3,1,3,1,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,207229,3,12445,29343,,12445,12445,RUA VALTER BENVENUTO DA SILVA
9383,0,0,,10939,0,,14,14,1,3,2,2,2,5,2,4,4,4,4,4,4,6,3,1,3,1,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,207000,13,12466,35661,,12466,12466,RUA ANTÔNIO SALES DE ALMEIDA
9384,0,0,,10922,0,,14,14,1,3,5,2,4,5,2,4,4,4,4,4,4,6,3,2,3,2,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,207233,15,12449,29343,,12449,12449,RUA VALTER BENVENUTO DA SILVA
